X,Y,countyname,depth_to_water,town,date,ID,countycode,township,year,year2,depth
-101.600938,37.025356,Morton,-222.69,ROLLA SE,1984/02/21,370136101360401,129,35,"1984","1984",287-216
-100.917644,37.005856,Seward,-121.33,Liberal,1984/01/12,370023100550801,175,35,"1984","1984",143-72
-101.994048,37.035692,Morton,-77.81,ELKHART NORTH,1984/02/21,370217101593801,129,35,"1984","1984",143-72
-101.438238,37.046497,Stevens,-144.67,HUGOTON SW,1984/05/10,370246101261701,189,34,"1984","1984",215-144
-101.131909,37.190821,Stevens,-112.8,WOODS NW,1984/01/06,371143101080501,189,33,"1984","1984",143-72
-98.793447,37.48398,Pratt,-35.44,Sun City NE,1984/01/30,372902098473802,151,29,"1984","1984",71-0
-98.793447,37.48398,Pratt,-35.39,Sun City NE,1984/03/27,372902098473802,151,29,"1984","1984",71-0
-98.793447,37.48398,Pratt,-35.17,Sun City NE,1984/08/06,372902098473802,151,29,"1984","1984",71-0
-98.793447,37.48398,Pratt,-35.4,Sun City NE,1984/10/22,372902098473802,151,29,"1984","1984",71-0
-98.793427,37.483942,Pratt,-36.54,Sun City NE,1984/01/30,372902098473803,151,29,"1984","1984",71-0
-98.793427,37.483942,Pratt,-35.33,Sun City NE,1984/03/27,372902098473803,151,29,"1984","1984",71-0
-98.793427,37.483942,Pratt,-35.19,Sun City NE,1984/08/06,372902098473803,151,29,"1984","1984",71-0
-98.793427,37.483942,Pratt,-35.43,Sun City NE,1984/10/22,372902098473803,151,29,"1984","1984",71-0
-100.996843,37.278474,Seward,-223.05,Sublette SW,1984/01/11,371641100594601,175,32,"1984","1984",287-216
-101.103341,37.162395,Stevens,-129.35,WOODS,1984/01/06,370958101055501,189,33,"1984","1984",143-72
-98.565286,37.238808,Barber,-4.15,GERLANE,1984/03/05,371414098334701,7,32,"1984","1984",71-0
-98.565286,37.238808,Barber,-3.98,GERLANE,1984/06/06,371414098334701,7,32,"1984","1984",71-0
-101.563638,37.184785,Morton,-78.69,Rolla NE,1984/01/05,371103101334301,129,33,"1984","1984",143-72
-101.610442,37.344952,Morton,-191.29,Shore Airport SE,1984/01/05,372043101363101,129,31,"1984","1984",215-144
-101.113242,37.358374,Stevens,-282.84,Moscow SE,1984/01/06,372128101065001,189,31,"1984","1984",287-216
-102.028654,37.478867,Stanton,-116.82,Saunders,1984/01/04,372840102014101,187,29,"1984","1984",143-72
-101.761947,37.43234,Stanton,-198.35,RICHFIELD NE,1984/01/05,372556101454002,187,30,"1984","1984",215-144
-98.582033,37.470795,Pratt,-55.56,Isabel,1984/01/30,372818098345503,151,29,"1984","1984",71-0
-98.582033,37.470795,Pratt,-55.67,Isabel,1984/03/27,372818098345503,151,29,"1984","1984",71-0
-98.582033,37.470795,Pratt,-55.84,Isabel,1984/08/06,372818098345503,151,29,"1984","1984",71-0
-98.582033,37.470795,Pratt,-55.72,Isabel,1984/10/22,372818098345503,151,29,"1984","1984",71-0
-101.216446,37.474564,Grant,-200.9,Moscow NW,1984/01/11,372826101125501,67,30,"1984","1984",215-144
-101.216446,37.474564,Grant,-215.71,Moscow NW,1984/04/18,372826101125501,67,30,"1984","1984",215-144
-101.216446,37.474564,Grant,-216.58,Moscow NW,1984/07/09,372826101125501,67,30,"1984","1984",287-216
-101.216446,37.474564,Grant,-216.58,Moscow NW,1984/08/09,372826101125501,67,30,"1984","1984",287-216
-101.216446,37.474564,Grant,-220.62,Moscow NW,1984/11/07,372826101125501,67,30,"1984","1984",287-216
-98.784215,37.477647,Pratt,-32.01,Sun City NE,1984/01/16,372838098470601,151,29,"1984","1984",71-0
-98.557288,37.652069,Pratt,-5.56,Cairo,1984/01/16,373905098332501,151,27,"1984","1984",71-0
-99.163669,37.602918,Kiowa,-96.44,BRENGAM,1984/01/17,373612099093801,97,28,"1984","1984",143-72
-98.261955,37.640191,Kingman,-7.91,PENALOSA,1984/01/16,373819098154001,95,28,"1984","1984",71-0
-98.95667,37.65626,Pratt,-75.4,Cullison,1984/01/01,373924098571401,151,27,"1984","1984",143-72
-98.95667,37.65626,Pratt,-75.4,Cullison,1984/01/17,373924098571401,151,27,"1984","1984",143-72
-100.761438,37.658774,Haskell,-194.8,Wild Horse Lake,1984/02/06,373929100453601,81,27,"1984","1984",215-144
-99.079053,37.659267,Kiowa,-65.96,HAVILAND NE,1984/01/17,373938099043601,97,27,"1984","1984",71-0
-100.725734,37.28585,Seward,-202.9,Plains SW,1984/01/13,371706100432201,175,32,"1984","1984",215-144
-99.969991,37.619051,Ford,-137.75,FORT DODGE SW,1984/03/05,373652099575901,57,28,"1984","1984",143-72
-99.969991,37.619051,Ford,-140.25,FORT DODGE SW,1984/06/12,373652099575901,57,28,"1984","1984",143-72
-99.969991,37.619051,Ford,-139.48,FORT DODGE SW,1984/12/05,373652099575901,57,28,"1984","1984",143-72
-99.59493,37.61657,Ford,-42.91,BUCKLIN SE,1984/01/30,373644099354101,57,28,"1984","1984",71-0
-98.803,37.5428,Pratt,-99.9,Coats,1984/01/30,373231098480401,151,29,"1984","1984",143-72
-98.803,37.5428,Pratt,-99.9,Coats,1984/01/31,373231098480401,151,29,"1984","1984",143-72
-98.803,37.5428,Pratt,-99.93,Coats,1984/03/27,373231098480401,151,29,"1984","1984",143-72
-98.803,37.5428,Pratt,-99.77,Coats,1984/08/06,373231098480401,151,29,"1984","1984",143-72
-98.803,37.5428,Pratt,-99.85,Coats,1984/10/26,373231098480401,151,29,"1984","1984",143-72
-101.394705,37.503805,Grant,-257.05,Ulysses SW,1984/01/12,373009101234301,67,29,"1984","1984",287-216
-99.384835,37.512637,Kiowa,-157.66,Mullinville,1984/01/16,373038099230801,97,29,"1984","1984",215-144
-100.597631,37.515029,Gray,-181.98,Copeland SE,1984/01/26,373054100354401,69,29,"1984","1984",215-144
-101.585947,37.50809,Stanton,-162.37,Big Bow,1984/01/05,373031101350901,187,29,"1984","1984",215-144
-100.479228,37.547523,Gray,-118.96,MONTEZUMA,1984/04/12,373247100283801,69,29,"1984","1984",143-72
-100.479228,37.547523,Gray,-119.26,MONTEZUMA,1984/11/01,373247100283801,69,29,"1984","1984",143-72
-99.893479,37.558551,Ford,-142.29,FORT DODGE SW,1984/01/25,373318099532701,57,29,"1984","1984",143-72
-99.645121,37.556441,Ford,-106.04,BUCKLIN,1984/03/05,373309099384901,57,29,"1984","1984",143-72
-99.645121,37.556441,Ford,-101.53,BUCKLIN,1984/09/04,373309099384901,57,29,"1984","1984",143-72
-99.645121,37.556441,Ford,-100.05,BUCKLIN,1984/12/04,373309099384901,57,29,"1984","1984",143-72
-98.592093,37.660004,Pratt,0.6,Cairo,1984/01/30,373933098353403,151,27,"1984","1984",+1-10
-98.592093,37.660004,Pratt,0.31,Cairo,1984/03/27,373933098353403,151,27,"1984","1984",+1-10
-98.592093,37.660004,Pratt,-1.44,Cairo,1984/08/07,373933098353403,151,27,"1984","1984",71-0
-98.592093,37.660004,Pratt,-0.86,Cairo,1984/10/26,373933098353403,151,27,"1984","1984",71-0
-100.664863,37.742685,Finney,-120.05,COPELAND NW,1984/02/02,374426100395001,55,26,"1984","1984",143-72
-98.771558,37.726299,Pratt,-50.2,Coats NE,1984/01/30,374332098461102,151,27,"1984","1984",71-0
-98.771558,37.726299,Pratt,-173.62,Coats NE,1984/03/28,374332098461102,151,27,"1984","1984",215-144
-98.771558,37.726299,Pratt,-175.89,Coats NE,1984/08/07,374332098461102,151,27,"1984","1984",215-144
-98.771543,37.726301,Pratt,-60.83,Coats NE,1984/01/30,374332098461103,151,27,"1984","1984",71-0
-98.771543,37.726301,Pratt,-60.26,Coats NE,1984/03/28,374332098461103,151,27,"1984","1984",71-0
-98.771543,37.726301,Pratt,-65.43,Coats NE,1984/08/07,374332098461103,151,27,"1984","1984",71-0
-98.771543,37.726301,Pratt,-62.71,Coats NE,1984/10/30,374332098461103,151,27,"1984","1984",71-0
-99.390994,37.744917,Edwards,-36.6,GREENSBURG NW,1984/01/17,374427099232901,47,26,"1984","1984",71-0
-100.983585,37.763177,Finney,-139.7,GARDEN CITY SW,1984/02/13,374545100590201,55,26,"1984","1984",143-72
-100.929216,37.759469,Finney,-133.8,GARDEN CITY SW,1984/02/13,374534100554401,55,26,"1984","1984",143-72
-98.460031,37.776441,Reno,-25.29,TTuron,1984/01/04,374637098272501,155,26,"1984","1984",71-0
-98.460031,37.776441,Reno,-25.49,TTuron,1984/03/09,374637098272501,155,26,"1984","1984",71-0
-98.460031,37.776441,Reno,-24.56,TTuron,1984/06/05,374637098272501,155,26,"1984","1984",71-0
-98.460031,37.776441,Reno,-24.31,TTuron,1984/09/10,374637098272501,155,26,"1984","1984",71-0
-98.460031,37.776441,Reno,-24.8,TTuron,1984/12/17,374637098272501,155,26,"1984","1984",71-0
-98.789552,37.773477,Pratt,-26.89,Byers,1984/01/18,374631098472501,151,26,"1984","1984",71-0
-99.36496,37.77677,Edwards,-36,Centerview,1984/01/01,374618099215101,47,26,"1984","1984",71-0
-99.36496,37.77677,Edwards,-36.1,Centerview,1984/01/17,374618099215101,47,26,"1984","1984",71-0
-101.365013,37.766161,Kearny,-97.08,LAKIN SE,1984/01/31,374557101215101,93,26,"1984","1984",143-72
-97.518721,37.801457,Sedgwick,-21.35,Colwich,1984/03/13,374811097310301,173,26,"1984","1984",71-0
-97.518721,37.801457,Sedgwick,-20.21,Colwich,1984/06/08,374811097310301,173,26,"1984","1984",71-0
-97.518721,37.801457,Sedgwick,-20.91,Colwich,1984/09/12,374811097310301,173,26,"1984","1984",71-0
-97.518721,37.801457,Sedgwick,-21.4,Colwich,1984/12/17,374811097310301,173,26,"1984","1984",71-0
-99.327225,37.689574,Kiowa,-17.63,Greensburg NE,1984/01/16,374117099193001,97,27,"1984","1984",71-0
-99.327225,37.689574,Kiowa,-18.95,Greensburg NE,1984/03/09,374117099193001,97,27,"1984","1984",71-0
-99.327225,37.689574,Kiowa,-19.04,Greensburg NE,1984/06/06,374117099193001,97,27,"1984","1984",71-0
-99.327225,37.689574,Kiowa,-19.13,Greensburg NE,1984/09/04,374117099193001,97,27,"1984","1984",71-0
-99.327225,37.689574,Kiowa,-19.35,Greensburg NE,1984/12/12,374117099193001,97,27,"1984","1984",71-0
-100.852589,37.939383,Finney,-63.38,Garden City East,1984/02/03,375624100511301,55,24,"1984","1984",71-0
-98.087303,37.941163,Reno,-11.9,Partridge,1984/01/05,375625098051701,155,24,"1984","1984",71-0
-100.700187,37.891563,Finney,-29.25,PIERCEVILLE,1984/02/02,375327100415801,55,25,"1984","1984",71-0
-100.868562,37.679444,Haskell,-173.73,Wild Horse Lake,1984/02/07,374046100520101,81,27,"1984","1984",215-144
-101.659449,37.909244,Hamilton,-50.81,Syracuse East,1984/01/31,375416101394401,75,25,"1984","1984",71-0
-100.467127,37.737493,Gray,-96.12,Montezuma NW,1984/01/30,374417100280401,69,26,"1984","1984",143-72
-100.467127,37.737493,Gray,-99.89,Montezuma NW,1984/11/01,374417100280401,69,26,"1984","1984",143-72
-100.188118,37.737151,Ford,-82.45,Ensign,1984/03/05,374403100110601,57,26,"1984","1984",143-72
-100.188118,37.737151,Ford,-81.76,Ensign,1984/06/12,374403100110601,57,26,"1984","1984",143-72
-100.188118,37.737151,Ford,-85.27,Ensign,1984/12/05,374403100110601,57,26,"1984","1984",143-72
-97.988884,37.693547,Kingman,-2.52,WATERLOO,1984/01/16,374139097591601,95,27,"1984","1984",71-0
-98.464845,37.733556,Reno,-18.38,Cunningham,1984/02/01,374401098274803,155,26,"1984","1984",71-0
-98.464845,37.733556,Reno,-17.87,Cunningham,1984/03/27,374401098274803,155,26,"1984","1984",71-0
-98.464845,37.733556,Reno,-16.62,Cunningham,1984/08/10,374401098274803,155,26,"1984","1984",71-0
-98.464845,37.733556,Reno,-17.91,Cunningham,1984/10/30,374401098274803,155,26,"1984","1984",71-0
-101.820852,37.741443,Hamilton,-118,SYRACUSE WEST SE,1984/05/16,374421101490901,75,26,"1984","1984",143-72
-98.255877,37.825063,Reno,-9.1,Langdon,1984/02/11,374932098151702,155,25,"1984","1984",71-0
-98.255877,37.825063,Reno,-8.18,Langdon,1984/03/27,374932098151702,155,25,"1984","1984",71-0
-98.255877,37.825063,Reno,-9.77,Langdon,1984/08/10,374932098151702,155,25,"1984","1984",71-0
-98.255877,37.825063,Reno,-9.48,Langdon,1984/10/31,374932098151702,155,25,"1984","1984",71-0
-98.999963,37.850616,Stafford,-11.85,Hopewell,1984/01/10,375059098595801,185,25,"1984","1984",71-0
-100.924743,37.876904,Finney,-129.34,GARDEN CITY W,1984/02/14,375239100552401,55,25,"1984","1984",143-72
-100.924743,37.876904,Finney,-127.26,GARDEN CITY W,1984/04/05,375239100552401,55,25,"1984","1984",143-72
-100.924743,37.876904,Finney,-134.65,GARDEN CITY W,1984/10/23,375239100552401,55,25,"1984","1984",143-72
-98.862203,37.858186,Stafford,-12,BYERS,1984/07/01,375118098513901,185,25,"1984","1984",71-0
-101.244848,37.882669,Kearny,-101,DEERFIELD,1984/09/05,375257101144301,93,25,"1984","1984",143-72
-99.210355,37.879783,Edwards,-28.22,BELPRE NW,1984/01/16,375245099123501,47,25,"1984","1984",71-0
-100.473826,37.885371,Gray,-131.06,Cimarron NW,1984/01/31,375258100281701,69,25,"1984","1984",143-72
-98.637078,38.036181,Stafford,-15.24,Hudson,1984/01/09,380208098381001,185,23,"1984","1984",71-0
-101.023682,38.055246,Finney,-149.6,WOLF,1984/02/02,380319101012301,55,23,"1984","1984",215-144
-101.284145,38.08137,Kearny,-144.9,LEOTI 3 SE,1984/01/30,380452101170901,93,23,"1984","1984",215-144
-99.404504,38.032451,Edwards,-59.01,ROZEL SW,1984/03/07,380145099241301,47,23,"1984","1984",71-0
-99.404504,38.032451,Edwards,-59.12,ROZEL SW,1984/06/12,380145099241301,47,23,"1984","1984",71-0
